Age and sex,Total,,White,,"Black or African
American",,Asian,,Hispanic or Latino,,,,,,,,,,,,,,,,,
,"2nd
2019","2nd
2020","2nd
2019","2nd
2020","2nd
2019","2nd
2020","2nd
2019","2nd
2020","2nd
2019","2nd
2020",,,White,Black,Asian,Hispanic,,,,,,,,,,
"Total, 16 years and over",3.5,12.9,3.1,12,6.1,16.1,2.2,14.3,3.9,16.7,,16 to 17 years,29,35.5,30,31.1,,,,,,,,,,
16 to 19 years,13.4,28.7,11.7,27.6,24.2,31.7,7,27.6,14.7,33,,18 to 19 years,26.9,29.6,29.8,33.7,,,,,,,,,,
16 to 17 years,16,29.5,14.6,29,29,35.5,3.9,-,19.2,31.1,,20 to 24 years,20.9,27.5,29.7,25.5,,,White Pre,White Post,Black Pre,Black Post,Asian Pre,Asian Post,Hispanic Pre,Hispanic Post
18 to 19 years,12,28.2,10.2,26.9,21.9,29.6,8.8,29.8,12.8,33.7,,25 to 34 years,12.1,17.1,13.9,15.1,,16 to 17 years,14.6,29,24.2,35.5,3.9,30,19.2,31.1
20 years and over,3.1,12.3,2.8,11.5,5.4,15.5,2.1,14.1,3.5,16,,35 to 44 years,9.4,11.8,10.4,13.9,,18 to 19 years,10.2,26.9,21.9,29.6,8.8,29.8,12.8,33.7
20 to 24 years,6.5,22.7,5.6,20.9,11,27.5,4,29.7,5.9,25.5,,45 to 54 years,9.5,13.9,11.4,14.8,,20 to 24 years,5.6,20.9,11,27.5,4,29.7,5.9,25.5
25 years and over,2.8,11.3,2.5,10.5,4.7,14.2,2,13,3.1,14.6,,55 to 64 years,10.3,12.9,16.7,13.9,,25 to 34 years,2.9,12.1,6,17.1,2.6,13.9,3.7,15.1
25 to 54 years,2.8,11.2,2.5,10.4,4.9,14.5,1.9,11.9,3,14.6,,65 years and over,12.8,14.5,18.9,18.7,,35 to 44 years,2.2,9.4,4.6,11.8,1.8,10.4,2.7,13.9
25 to 34 years,3.5,13,2.9,12.1,6,17.1,2.6,13.9,3.7,15.1,,,,,,,,45 to 54 years,2.3,9.5,3.7,13.9,1.4,11.4,2.6,14.8
35 to 44 years,2.5,10,2.2,9.4,4.6,11.8,1.8,10.4,2.7,13.9,,,,,,,,55 to 64 years,2.3,10.3,4.2,12.9,2,16.7,3.1,13.9
45 to 54 years,2.5,10.3,2.3,9.5,3.7,13.9,1.4,11.4,2.6,14.8,,,,,,,,65 years and over,2.8,12.8,4.1,14.5,2.7,18.9,5.2,18.7
55 years and over,2.6,11.5,2.4,11,4.2,13.3,2.2,17.3,3.5,14.9,,,,,,,,,,,,,,,,
55 to 64 years,2.5,10.9,2.3,10.3,4.2,12.9,2,16.7,3.1,13.9,,,,,,,,,,,,,,,,
65 years and over,2.9,13.2,2.8,12.8,4.1,14.5,2.7,18.9,5.2,18.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Men, 16 years and over",3.6,11.9,3.1,10.9,6.6,16.2,2.2,13,3.7,15.2,,,,,,,,,,,,,,,,
16 to 19 years,14.5,27.1,13.3,25.9,26.3,29.8,7.4,28.9,15.1,33.6,,,,,,,,,,,,,,,,
16 to 17 years,15.6,24.9,14.8,24.2,25.2,34.5,-,-,14.1,26.4,,,,,,,,,,,,,,,,
18 to 19 years,14,28.1,12.4,26.8,26.9,27.7,10.8,-,15.7,36.7,,,White,Black,Asian,Hispanic,,,,,,,,,,
20 years and over,3.2,11.4,2.8,10.4,5.9,15.7,2.1,12.8,3.2,14.5,,16 to 17 years,14.6,24.2,3.9,19.2,,,,,,,,,,
20 to 24 years,7.7,21.3,6.3,18.9,13.9,27.1,3.1,34.2,6.9,23.3,,18 to 19 years,10.2,21.9,8.8,12.8,,,,,,,,,,
25 years and over,2.7,10.4,2.4,9.6,4.9,14.4,2.1,11.3,2.7,13.4,,20 to 24 years,5.6,11,4,5.9,,,,,,,,,,
25 to 54 years,2.8,10.5,2.4,9.6,5.3,14.8,2,10.2,2.6,13.4,,25 to 34 years,2.9,6,2.6,3.7,,,,,,,,,,
25 to 34 years,3.4,12.8,2.8,11.8,6,17.5,2.8,13,3.2,14.3,,35 to 44 years,2.2,4.6,1.8,2.7,,,,,,,,,,
35 to 44 years,2.4,9.3,2.1,8.7,4.7,11.3,1.8,8.8,2,13,,45 to 54 years,2.3,3.7,1.4,2.6,,,,,,,,,,
45 to 54 years,2.6,9.1,2.3,8.3,4.9,14.8,1.4,8.5,2.5,12.6,,55 to 64 years,2.3,4.2,2,3.1,,,,,,,,,,
55 years and over,2.4,10.2,2.3,9.6,3.4,13.1,2.3,15.9,3.5,13.5,,65 years and over,2.8,4.1,2.7,5.2,,,,,,,,,,
55 to 64 years,2.3,9.7,2.2,9.1,3,12.5,2.3,14.8,3.2,12.7,,,,,,,,,,,,,,,,
65 years and over,2.7,11.6,2.5,10.9,4.8,15.1,2.4,18.9,4.6,16.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Women, 16 years and over",3.5,14,3.1,13.3,5.6,16.1,2.2,15.8,4.3,18.7,,,,,,,,,,,,,,,,
16 to 19 years,12.2,30.4,10.2,29.5,22.7,33.2,6.6,26.4,14.3,32.3,,,,,,,,,,,,,,,,
16 to 17 years,16.4,33.5,14.3,33.3,32,36.1,-,-,26.7,36.7,,,,,,,,,,,,,,,,
18 to 19 years,10.1,28.4,8.1,27,18.3,31.3,-,-,10,30.9,,,,,,,,,,,,,,,,
20 years and over,3.1,13.4,2.8,12.7,4.9,15.4,2.1,15.6,3.8,17.9,,,,,,,,,,,,,,,,
20 to 24 years,5.3,24.1,4.8,23,8.2,27.9,4.7,25.6,4.7,27.9,,,,,,,,,,,,,,,,
25 years and over,2.9,12.2,2.6,11.6,4.5,14,1.9,14.8,3.6,16.4,,,,,,,,,,,,,,,,
25 to 54 years,2.9,11.9,2.6,11.2,4.5,14.2,1.9,13.9,3.6,16.3,,,,,,,,,,,,,,,,
25 to 34 years,3.5,13.3,3,12.4,6.1,16.7,2.3,15,4.2,16.2,,,,,,,,,,,,,,,,
35 to 44 years,2.7,10.8,2.4,10.2,4.4,12.2,1.8,12.1,3.8,15.2,,,,,,,,,,,,,,,,
45 to 54 years,2.3,11.5,2.3,10.9,2.6,13.1,1.3,14.5,2.6,17.6,,,,,,,,,,,,,,,,
55 years and over,2.8,13,2.6,12.6,4.8,13.4,2,18.9,3.5,16.8,,,,,,,,,,,,,,,,
55 to 64 years,2.7,12.2,2.4,11.7,5.2,13.3,1.7,18.8,2.9,15.7,,,,,,,,,,,,,,,,
65 years and over,3.1,15.2,3.1,15.2,3.7,13.9,3.1,19,5.9,21.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10.2,,,,,,,,,,,,,,,,,,,
,,,,,,,13.6,,,,,,,,,,,,,,,,,,,
,,,,,,,14.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019 Men,2019 Women,2020 Men,2020 Women,,,,,,,,,,,,,,,,,,,,,,
Total,3.6,3.5,11.9,14,,,,,,,,,,,,,,,,,,,,,,
White,3.1,3.1,10.9,13.3,,,,,,,,,,,,,,,,,,,,,,
Black,6.6,5.6,16.2,16.1,,,,,,,,,,,,,,,,,,,,,,
Asian,2.2,2.2,13,15.8,,,,,,,,,,,,,,,,,,,,,,
Hispanic,3.7,4.3,15.2,18.7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Men,Women,,,,,,,,,,,,,,,,,,,,,,,,
Total,8.3,10.5,,,,,,,,,,,,,,,,,,,,,,,,
White,7.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,
Black,9.6,10.5,,,,,,,,,,,,,,,,,,,,,,,,
Asian,10.8,13.6,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,11.5,14.4,,,,,,,,,,,,,,,,,,,,,,,,